OBJECTID;BaselineID;Group;TransOrder;ProcTime;Autogen;StartX;StartY;EndX;EndY;Azimuth;SHAPE_Leng;SETOR
408;1;0;408;13/07/2020 16:08;1;297418,26;9135454,35;297476,3;9135592,67;22,76;-45,42305442;2
409;1;0;409;13/07/2020 16:08;1;297421,07;9135453,29;297470,48;9135594,92;19,23;-45,42040278;2
410;1;0;410;13/07/2020 16:08;1;297423,9;9135452,3;297474,44;9135593,53;19,69;-45,44766826;2
411;1;0;411;13/07/2020 16:08;1;297426,75;9135451,36;297467,51;9135595,72;15,77;-45,47368608;2
412;1;0;412;13/07/2020 16:08;1;297429,66;9135450,66;297465,99;9135596,2;14,02;-45,30179704;2
413;1;0;413;13/07/2020 16:08;1;297432,52;9135449,78;297472,9;9135594,24;15,62;-45,08069175;2
414;1;0;414;13/07/2020 16:08;1;297435,45;9135449,17;297466,74;9135595,87;12,04;-44,9438983;2
415;1;0;415;13/07/2020 16:08;1;297438,38;9135448,53;297473,83;9135594,28;13,67;-44,59180314;2
416;1;0;416;13/07/2020 16:08;1;297441,27;9135447,78;297471,49;9135594,71;11,62;-44,54086467;2
417;1;0;417;13/07/2020 16:08;1;297444,19;9135447,09;297490,17;9135589,87;17,85;-43,86657169;2
418;1;0;418;13/07/2020 16:08;1;297447,04;9135446,18;297491,25;9135589,52;17,14;-43,881587;2
419;1;0;419;13/07/2020 16:08;1;297449,91;9135445,32;297490,21;9135589,8;15,59;-43,72191033;2
420;1;0;420;13/07/2020 16:08;1;297452,8;9135444,53;297487,06;9135590,56;13,2;-43,6447019;2
421;1;0;421;13/07/2020 16:08;1;297455,73;9135443,88;297487,64;9135590,45;12,28;-20,16664843;1
422;1;0;422;13/07/2020 16:08;1;297458,68;9135443,33;297481,43;9135591,59;8,72;-43,34281842;2
423;1;0;423;13/07/2020 16:08;1;297461,66;9135443,01;297476,43;9135592,28;5,65;-43,17496066;2
426;1;0;426;13/07/2020 16:08;1;297470,63;9135442,7;297486,9;9135591,82;6,23;-40,27233036;2
427;1;0;427;13/07/2020 16:08;1;297473,6;9135442,34;297492,19;9135591,18;7,12;-39,54378041;2
428;1;0;428;13/07/2020 16:08;1;297476,53;9135441,73;297495,87;9135590,47;7,41;-39,11846518;2
432;1;0;432;13/07/2020 16:08;1;297488,45;9135442,8;297485,08;9135592,76;358,71;-35,62699976;2
433;1;0;433;13/07/2020 16:08;1;297491,45;9135442,74;297499,77;9135592,5;3,18;-33,68021851;2
434;1;0;434;13/07/2020 16:08;1;297494,41;9135442,34;297530,73;9135587,88;14,01;-31,59437638;2
435;1;0;435;13/07/2020 16:08;1;297497,32;9135441,65;297516,96;9135590,36;7,52;-31,84522109;2
436;1;0;436;13/07/2020 16:08;1;297500,31;9135441,45;297513,36;9135590,88;4,99;-31,26489969;2
437;1;0;437;13/07/2020 16:08;1;297503,29;9135441,13;297510,83;9135590,94;2,88;-30,72921309;2
438;1;0;438;13/07/2020 16:08;1;297506,29;9135441,09;297512,24;9135590,97;2,27;-29,57114655;2
439;1;0;439;13/07/2020 16:08;1;297509,26;9135440,71;297535,73;9135588,36;10,16;-27,62545043;2
440;1;0;440;13/07/2020 16:08;1;297512,23;9135440,28;297534,2;9135588,66;8,42;-27,20678729;2
441;1;0;441;13/07/2020 16:08;1;297515,2;9135439,89;297526,97;9135589,43;4,5;-26,986014;2
442;1;0;442;13/07/2020 16:08;1;297518,19;9135439,65;297535,88;9135588,6;6,77;-25,68547795;2
443;1;0;443;13/07/2020 16:08;1;297521,17;9135439,3;297532,61;9135588,86;4,37;-25,06981283;2
444;1;0;444;13/07/2020 16:08;1;297524,16;9135439,14;297529,13;9135589,06;1,9;-24,29999847;2
448;1;0;448;13/07/2020 16:08;1;297283,76;9135535,65;297217,65;9135670,29;333,85;-0,278992549;4
450;1;0;450;13/07/2020 16:08;1;297289,46;9135534,56;297341,16;9135675,37;20,16;-0,186701771;4
451;1;0;451;13/07/2020 16:08;1;297292,38;9135533,96;297302,06;9135683,65;3,7;-0,060338994;4
452;1;0;452;13/07/2020 16:08;1;297295,38;9135533,98;297281,86;9135683,37;354,83;-0,045935194;4
453;1;0;453;13/07/2020 16:08;1;297298,34;9135534,41;297280,03;9135683,29;352,99;-0,463732867;4
